index,cnt,n_systems,Q1_2022,Q1_2025,Q1_change,Q1_se,Q2_2022,Q2_2025,Q2_change,Q2_se,Q3_2022,Q3_2025,Q3_change,Q3_se,Q4_2022,Q4_2025,Q4_change,Q4_se,Q2-Q1_2022,Q2-Q1_2025,Q2-Q1_change,Q2-Q1_se,Q3-Q1_2022,Q3-Q1_2025,Q3-Q1_change,Q3-Q1_se,Q4-Q1_2022,Q4-Q1_2025,Q4-Q1_change,Q4-Q1_se,Q3-Q2_2022,Q3-Q2_2025,Q3-Q2_change,Q3-Q2_se,Q4-Q2_2022,Q4-Q2_2025,Q4-Q2_change,Q4-Q2_se,Q4-Q3_2022,Q4-Q3_2025,Q4-Q3_change,Q4-Q3_se,domain,calibration
escs,OECD35,35,441.509116734757,446.787823964001,5.27870722924416,3.23979178670265,473.513988166017,477.258262584072,3.74427441805574,3.24605467704233,501.084266615457,505.855621177159,4.77135456170197,3.26398601218196,538.166206753155,530.597338501122,-7.5688682520323,3.29055758942066,32.0048714312593,30.4704386200709,-1.53443281118842,1.02722295711696,59.5751498807002,59.067797213158,-0.507352667542193,1.13516216712176,96.6570900183972,83.8095145371207,-12.8475754812765,1.31751770309416,27.5702784494409,28.5973585930871,1.02708014364623,1.06344867670347,64.6522185871379,53.3390759170499,-11.313142670088,1.2302252277625,37.081940137697,24.7417173239628,-12.3402228137343,1.10876037570364,scie,authors_original
escs,OECD34_without_NLD,34,441.531250054975,447.027987600307,5.49673754533143,3.24021068423255,473.7508273736,477.362760810628,3.61193343702774,3.24716476066745,500.776105442016,505.653166429265,4.87706098724971,3.26677479089191,537.787075304884,530.216410320636,-7.57066498424877,3.29582077869496,32.2195773186246,30.3347732103209,-1.88480410830368,1.03922117582319,59.2448553870403,58.6251788289586,-0.619676558081721,1.14158258281717,96.2558252499092,83.188422720329,-13.0674025295802,1.32817855179876,27.0252780684157,28.2904056186377,1.26512755022196,1.07460270207323,64.0362479312846,52.8536495100081,-11.1825984212765,1.24284402300752,37.0109698628688,24.5632438913704,-12.4477259714985,1.12284240319564,scie,authors_original
escs_h,OECD35,35,445.662028594181,445.221881172709,-0.440147421472034,3.24247827166859,474.87414826718,477.325592564897,2.45144429771665,3.24405872680577,502.833116259059,505.770667757081,2.93755149802183,3.26049050351351,532.03467024046,533.507265694026,1.47259545356576,3.29031054264994,29.2121196729993,32.103711392188,2.89159171918868,1.04573432418489,57.171087664878,60.5487865843719,3.37769891949387,1.13614294425429,86.3726416462789,88.2853845213167,1.91274287503779,1.31373232892199,27.9589679918788,28.4450751921839,0.486107200305185,1.04826483923213,57.1605219732796,56.1816731291287,-0.978848844150889,1.20998716815428,29.2015539814009,27.7365979369448,-1.46495604445607,1.12190217801287,scie,authors_original
escs_h,OECD34_without_NLD,34,445.663546215199,445.212450685168,-0.451095530031296,3.2427053731934,475.09505789531,477.388427841054,2.29336994574379,3.24457847483922,502.513157175371,505.481153930511,2.96799675514023,3.26079584731181,531.725978988218,533.224748874809,1.49876988659116,3.29582763000728,29.4315116801111,32.1759771558862,2.74446547577509,1.05307866637966,56.8496109601716,60.2687032453431,3.41909228517153,1.13192644679706,86.0624327730193,88.0122981896417,1.94986541662246,1.32589150337009,27.4180992800605,28.0927260894569,0.674626809396443,1.05127857391649,56.6309210929082,55.8363210337556,-0.794600059152629,1.22050300657641,29.2128218128477,27.7435949442987,-1.46922686854907,1.12347410210334,scie,authors_original
homepos,OECD35,35,435.231298842652,451.074194843643,15.8428960009913,3.26500685610733,479.031512717921,485.014968863082,5.98345614516086,3.2534390736997,506.790394273355,500.319817350733,-6.47057692262177,3.25137055236871,529.21184714707,505.974226694131,-23.2376204529391,3.27061226215151,43.8002138752697,33.9407740194392,-9.85943985583049,1.07192709262665,71.559095430703,49.2456225070899,-22.3134729236131,1.16123872547638,93.9805483044179,54.9000318504874,-39.0805164539304,1.27219089745777,27.7588815554333,15.3048484876506,-12.4540330677826,1.07222504535344,50.1803344291482,20.9592578310482,-29.2210765981,1.13660130087421,22.4214528737149,5.65440934339756,-16.7670435303173,1.0766025343172,scie,authors_original
homepos,OECD34_without_NLD,34,435.586531198561,451.334984290055,15.7484530914938,3.26669742422856,479.013537587199,484.840528945942,5.82699135874276,3.25393646948338,506.450721926405,500.161367631261,-6.28935429514337,3.25370197608746,528.867598701211,505.938169180921,-22.9294295202893,3.27460937521493,43.4270063886385,33.5055446558875,-9.92146173275103,1.08354830173433,70.8641907278436,48.8263833412064,-22.0378073866372,1.16996301488672,93.2810675026496,54.6031848908666,-38.6778826117831,1.28311935553057,27.437184339205,15.3208386853189,-12.1163456538861,1.07903102787775,49.8540611140111,21.0976402349791,-28.7564208790321,1.14365908880749,22.4168767748061,5.77680154966015,-16.640075225146,1.08697993773423,scie,authors_original
homepos_h,OECD35,35,446.577962818236,446.932219636264,0.354256818027466,3.26401024187756,485.127151607711,484.121768568052,-1.00538303965942,3.25015924704206,504.916198460928,502.052372316367,-2.8638261445613,3.25122563746051,516.295695690566,512.510686478506,-3.78500921206057,3.27127242985547,38.5491887894748,37.189548931788,-1.35963985768689,1.06017984242523,58.3382356426916,55.1201526801028,-3.21808296258877,1.15469330191477,69.71773287233,65.5784668422419,-4.13926603008804,1.28745843423603,19.7890468532167,17.9306037483149,-1.85844310490188,1.0242706714156,31.1685440828551,28.388917910454,-2.77962617240115,1.13058253382511,11.3794972296384,10.4583141621391,-0.921183067499271,1.1032522614137,scie,authors_original
homepos_h,OECD34_without_NLD,34,447.032535167542,446.650115129791,-0.382420037750819,3.26330908551492,484.853005687717,483.783041446911,-1.06996424080631,3.25337343319078,504.558898155848,501.871618221783,-2.68727993406475,3.25473495287082,516.167914101461,512.543300909834,-3.62461319162628,3.27491891680127,37.8204705201752,37.1329263171197,-0.687544203055495,1.06992242965125,57.5263629883053,55.2215030919914,-2.30485989631393,1.16331592027398,69.1353789339184,65.8931857800429,-3.24219315387546,1.29687445086591,19.7058924681301,18.0885767748717,-1.61731569325843,1.03728240463444,31.3149084137432,28.7602594629232,-2.55464895081997,1.14559634204055,11.6090159456131,10.6716826880515,-0.937333257561534,1.1172067054147,scie,authors_original
escs_h_min3,OECD35,35,445.11373410314,444.704052140748,-0.409681962392028,3.24212639062066,474.556389850839,477.000859683809,2.44446983297024,3.24573074310614,502.782891848074,505.343681077023,2.56078922894909,3.25889242726595,531.877754663952,533.474231386687,1.59647672273559,3.29408429349797,29.4426557476986,32.2968075430608,2.85415179536227,1.03635971355576,57.6691577449338,60.6396289362749,2.97047119134112,1.13091561162982,86.7640205608112,88.7701792459389,2.00615868512762,1.32528003758902,28.2265019972352,28.3428213932141,0.116319395978849,1.04335871573335,57.3213648131127,56.473371702878,-0.847993110234654,1.21464449593828,29.0948628158774,28.1305503096639,-0.964312506213503,1.1370395031875,scie,authors_original
escs_h_min3,OECD34_without_NLD,34,445.150241386878,444.92330077605,-0.226940610828137,3.24190353610661,474.735703026597,477.066439588269,2.33073656167238,3.24648281945739,502.455513997164,505.146086542685,2.69057254552075,3.25929348348548,531.564238487093,533.148754528711,1.5845160416186,3.29996214694012,29.5854616397184,32.1431388122189,2.55767717250052,1.04527007741068,57.3052726102862,60.2227857666351,2.91751315634889,1.1279857369525,86.4139971002146,88.2254537526613,1.81145665244674,1.33631603107287,27.7198109705678,28.0796469544162,0.35983598384837,1.04517553920959,56.8285354604961,56.0823149404424,-0.746220520053782,1.22645019290483,29.1087244899283,28.0026679860262,-1.10605650390215,1.14050475251538,scie,authors_original
