cnt,wave,group,pct
HUN,2025,Valid ESCS,96.0583118699905
IRL,2022,Parents with tertiary education (16 years),61.3595446164032
IRL,2022,Parents with 12 years or fewer,23.8142693849389
IRL,2022,HISEI >= 60,58.5401880338477
IRL,2022,HISEI < 35,19.8015328023715
IRL,2022,More than 100 books,41.6127492673736
IRL,2022,25 books or fewer,27.8362783828815
IRL,2022,No valid ESCS,0.925870156948378
IRL,2022,Valid ESCS,99.0741298430516
IRL,2025,Parents with tertiary education (16 years),56.9485634301195
IRL,2025,Parents with 12 years or fewer,28.4173159267445
IRL,2025,HISEI >= 60,54.8107248998675
IRL,2025,HISEI < 35,23.3740345226312
IRL,2025,More than 100 books,34.4385580341
IRL,2025,25 books or fewer,34.8206246107075
IRL,2025,No valid ESCS,3.07014270799991
IRL,2025,Valid ESCS,96.9298572920001
ISL,2022,Parents with tertiary education (16 years),67.5887773672033
ISL,2022,Parents with 12 years or fewer,22.3786278361279
ISL,2022,HISEI >= 60,58.7186970031081
ISL,2022,HISEI < 35,18.3981300661028
ISL,2022,More than 100 books,45.0059993265621
ISL,2022,25 books or fewer,19.1088057654621
ISL,2022,No valid ESCS,2.47504430461188
ISL,2022,Valid ESCS,97.5249556953882
ISL,2025,Parents with tertiary education (16 years),56.2465273409483
ISL,2025,Parents with 12 years or fewer,28.2366979079085
ISL,2025,HISEI >= 60,63.4866408731379
ISL,2025,HISEI < 35,16.2171356594694
ISL,2025,More than 100 books,40.7498712348093
ISL,2025,25 books or fewer,23.2273550431971
ISL,2025,No valid ESCS,10.7606031592217
ISL,2025,Valid ESCS,89.2393968407783
ISR,2022,Parents with tertiary education (16 years),65.6731660334062
ISR,2022,Parents with 12 years or fewer,24.0364567622599
ISR,2022,HISEI >= 60,61.9471714541757
ISR,2022,HISEI < 35,18.0913434563729
ISR,2022,More than 100 books,41.1035483392752
ISR,2022,25 books or fewer,32.1555240538601
ISR,2022,No valid ESCS,4.17677867032178
ISR,2022,Valid ESCS,95.8232213296782
ISR,2025,Parents with tertiary education (16 years),66.3058340466799
ISR,2025,Parents with 12 years or fewer,25.8947537562587
ISR,2025,HISEI >= 60,63.5474700788077
ISR,2025,HISEI < 35,15.1337233762723
ISR,2025,More than 100 books,38.5214326895492
ISR,2025,25 books or fewer,35.615598567586
ISR,2025,No valid ESCS,20.2226100717962
ISR,2025,Valid ESCS,79.7773899282039
ITA,2022,Parents with tertiary education (16 years),43.2900962431422
ITA,2022,Parents with 12 years or fewer,33.49154633584
ITA,2022,HISEI >= 60,32.9772301638272
ITA,2022,HISEI < 35,34.8718288740647
ITA,2022,More than 100 books,38.1101506389787
ITA,2022,25 books or fewer,32.9010855320284
ITA,2022,No valid ESCS,0.930578248153674
ITA,2022,Valid ESCS,99.0694217518463
ITA,2025,Parents with tertiary education (16 years),40.6994778328684
ITA,2025,Parents with 12 years or fewer,50.6002309115862
ITA,2025,HISEI >= 60,35.5824190569217
ITA,2025,HISEI < 35,33.169142444632
ITA,2025,More than 100 books,38.7797000975092
ITA,2025,25 books or fewer,33.1173889169349
ITA,2025,No valid ESCS,2.85209789300469
ITA,2025,Valid ESCS,97.1479021069953
JPN,2022,Parents with tertiary education (16 years),55.4941480560905
JPN,2022,Parents with 12 years or fewer,25.4175132210219
JPN,2022,HISEI >= 60,45.3640667998018
JPN,2022,HISEI < 35,24.3352376332061
JPN,2022,More than 100 books,38.0786066245767
JPN,2022,25 books or fewer,28.3700138476485
JPN,2022,No valid ESCS,1.14687987157588
JPN,2022,Valid ESCS,98.8531201284241
JPN,2025,Parents with tertiary education (16 years),55.8066112336106
JPN,2025,Parents with 12 years or fewer,28.126888449328
JPN,2025,HISEI >= 60,46.7710460587773
JPN,2025,HISEI < 35,24.6853203242956
JPN,2025,More than 100 books,39.2862235402552
JPN,2025,25 books or fewer,28.0150381381471
JPN,2025,No valid ESCS,3.56984563900383
JPN,2025,Valid ESCS,96.4301543609962
KOR,2022,Parents with tertiary education (16 years),53.2806009281108
KOR,2022,Parents with 12 years or fewer,43.1160264193354
KOR,2022,HISEI >= 60,54.1674473376493
KOR,2022,HISEI < 35,14.616447682908
KOR,2022,More than 100 books,56.2563291005194
KOR,2022,25 books or fewer,16.0883440869822
KOR,2022,No valid ESCS,1.11864680000727
KOR,2022,Valid ESCS,98.8813531999927
KOR,2025,Parents with tertiary education (16 years),66.7061873473484
KOR,2025,Parents with 12 years or fewer,21.8386975131757
KOR,2025,HISEI >= 60,55.7648175951192
KOR,2025,HISEI < 35,18.295503212905
KOR,2025,More than 100 books,50.507971550897
KOR,2025,25 books or fewer,17.6867856392307
KOR,2025,No valid ESCS,2.67345624269967
KOR,2025,Valid ESCS,97.3265437573003
LTU,2022,Parents with tertiary education (16 years),65.6121774595205
LTU,2022,Parents with 12 years or fewer,34.3878225404795
LTU,2022,HISEI >= 60,51.6297700916943
