cnt,wave,index,quartile,n,estimate,se,ci_low,ci_high
MEX,2018,escs,Q4,1775,444.9887527327198,4.912751965782017,435.359758879787,454.6177465856525
MEX,2018,escs_h4,Q1,1377,376.9058639161543,3.3511107669190876,370.3376868129929,383.47404101931573
MEX,2018,escs_h4,Q2,1629,400.04647741664036,3.474419998382644,393.23661421981035,406.85634061347037
MEX,2018,escs_h4,Q3,1697,413.7407227179916,3.8529003836117446,406.1890379661126,421.2924074698706
MEX,2018,escs_h4,Q4,1769,444.9581527613344,5.21900883171,434.72889545118284,455.187410071486
MEX,2018,homepos,Q1,1411,377.0062686960015,3.8478721337740094,369.4644393138044,384.54809807819856
MEX,2018,homepos,Q2,1620,400.0706905594576,3.3115306147975496,393.5800905544544,406.5612905644608
MEX,2018,homepos,Q3,1689,417.9757481079042,3.960325615133745,410.2135099022421,425.73798631356635
MEX,2018,homepos,Q4,1755,440.5346625337226,4.934645099629628,430.86275813844856,450.20656692899666
MEX,2018,homepos_h4,Q1,1383,378.11677463407176,3.548747106550998,371.1612303052318,385.0723189629117
MEX,2018,homepos_h4,Q2,1628,394.6177340791306,3.4731110117140007,387.8104364961712,401.4250316620901
MEX,2018,homepos_h4,Q3,1703,424.58664089802267,4.09461688704882,416.56119179940697,432.61208999663836
MEX,2018,homepos_h4,Q4,1740,440.013632915523,4.841732041880193,430.5238381134378,449.50342771760813
PER,2018,escs,Q1,1472,352.1691879380271,3.049665943348958,346.19184268906315,358.14653318699106
PER,2018,escs,Q2,1501,387.2264667122873,3.1038111169338443,381.1429969230969,393.30993650147764
PER,2018,escs,Q3,1523,410.4480335838927,4.2762691265098445,402.0665460959334,418.829521071852
PER,2018,escs,Q4,1546,450.2579739091658,4.346410573114234,441.7390091858619,458.7769386324697
PER,2018,escs_h4,Q1,1467,352.15617858647494,3.2368919101547453,345.81187044257166,358.5004867303782
PER,2018,escs_h4,Q2,1511,388.4690224585098,2.7734630058705463,383.0330349670035,393.9050099500161
PER,2018,escs_h4,Q3,1519,410.354693513097,4.057647607425628,402.40170420254276,418.30768282365125
PER,2018,escs_h4,Q4,1542,449.2927137105424,4.656151851914827,440.1666560807893,458.41877134029545
PER,2018,homepos,Q1,1458,353.83392215009275,3.049237706069487,347.8574162461966,359.8104280539889
PER,2018,homepos,Q2,1514,381.69223481734423,3.0270365588018575,375.7592431620926,387.62522647259584
PER,2018,homepos,Q3,1513,413.81952558532265,4.4216693157933555,405.15305372636766,422.48599744427764
PER,2018,homepos,Q4,1556,450.77010599509885,4.422013098955338,442.1029603211464,459.4372516690513
PER,2018,homepos_h4,Q1,1459,360.3357254461643,2.9108271257152456,354.6305042797624,366.0409466125662
PER,2018,homepos_h4,Q2,1491,374.3198623083933,3.4102871288370893,367.63569953587256,381.004025080914
PER,2018,homepos_h4,Q3,1517,420.4105521529157,3.38256569837858,413.78072338409373,427.0403809217377
PER,2018,homepos_h4,Q4,1537,449.0791409251955,4.809530119532798,439.6524618909112,458.50581995947977
URY,2018,escs,Q1,1276,374.6432893139546,3.654661339547948,367.4801530884406,381.8064255394686
URY,2018,escs,Q2,1245,402.8047572627461,3.3552034559724646,396.22855848904004,409.3809560364521
URY,2018,escs,Q3,1235,425.68460876514837,4.069134042101448,417.7091060426295,433.6601114876672
URY,2018,escs,Q4,1302,465.31241618719577,4.927075252099247,455.65534869308124,474.9694836813103
URY,2018,escs_h4,Q1,1266,377.3070527867944,3.7262643115127614,370.0035747362294,384.61053083735936
URY,2018,escs_h4,Q2,1236,403.7301747066398,3.401119355279373,397.06398077029223,410.39636864298734
URY,2018,escs_h4,Q3,1228,424.0196539837078,3.985089816734424,416.2088779429084,431.8304300245073
URY,2018,escs_h4,Q4,1295,466.1975310703444,4.750683760317249,456.8861909001226,475.5088712405662
URY,2018,homepos,Q1,1276,375.14500221764365,3.5135516469114942,368.25844098969714,382.03156344559017
URY,2018,homepos,Q2,1253,405.69592110429943,3.5065113751354193,398.823158809034,412.56868339956486
URY,2018,homepos,Q3,1255,427.91816141230464,3.776032122306953,420.517138452583,435.31918437202626
URY,2018,homepos,Q4,1292,459.0054972447885,4.7777419835142485,449.64112295710055,468.36987153247645
URY,2018,homepos_h4,Q1,1253,381.83074068072244,3.2838477758636895,375.3943990400296,388.2670823214153
URY,2018,homepos_h4,Q2,1230,404.67380691679017,3.2704797892605737,398.26366652983944,411.0839473037409
URY,2018,homepos_h4,Q3,1237,433.1405548288232,3.8371939481436397,425.6196546904617,440.66145496718474
URY,2018,homepos_h4,Q4,1265,456.487008144463,4.973660514906478,446.7386335352463,466.2353827536797
ARG,2022,escs,Q1,2628,344.8112058827247,2.9980480927337183,338.93503162096664,350.6873801444828
ARG,2022,escs,Q2,2733,362.50217556307496,2.6026698021935077,357.4009427507757,367.6034083753742
ARG,2022,escs,Q3,2933,384.5663480395166,3.414349789494026,377.8742224521083,391.25847362692485
ARG,2022,escs,Q4,3425,419.59139327608364,3.623160794943941,412.48999811799354,426.69278843417374
ARG,2022,escs_h4,Q1,2603,346.313913303835,3.061127106144778,340.3141041757913,352.3137224318788
ARG,2022,escs_h4,Q2,2776,366.0042096042863,2.6393901333805294,360.8310049428605,371.1774142657121
ARG,2022,escs_h4,Q3,2881,385.1166142575279,2.9884621793204924,379.2592283860597,390.97400012899607
ARG,2022,escs_h4,Q4,3397,417.09902102603627,4.013670466839577,409.2322269110307,424.96581514104184
ARG,2022,homepos,Q1,2458,338.7818480512122,3.01407793955429,332.8742552896858,344.6894408127386
ARG,2022,homepos,Q2,2952,367.1932396149292,2.8088864572530903,361.6878221587132,372.69865707114525
ARG,2022,homepos,Q3,3051,390.21397266835044,2.867797358504256,384.5930898456821,395.8348554910188
ARG,2022,homepos,Q4,3323,414.3519549979313,3.657621154167732,407.18301753576253,421.5208924601
ARG,2022,homepos_h4,Q1,2511,348.5346525367706,2.532759988569694,343.570442959174,353.49886211436717
ARG,2022,homepos_h4,Q2,2792,368.6416152368888,3.5531461076633875,361.6774488658686,375.605781607909
ARG,2022,homepos_h4,Q3,3027,392.0215065945276,3.3944041015550135,385.36847455547974,398.6745386335754
ARG,2022,homepos_h4,Q4,3209,410.45416729236024,3.2344194729782147,404.1147051253229,416.79362945939755
BRA,2022,escs,Q1,2530,348.10894502960826,1.7966819977896482,344.58744831394057,351.63044174527596
BRA,2022,escs,Q2,2565,365.0199885644702,2.007004456255008,361.0862598302104,368.95371729873006
BRA,2022,escs,Q3,2608,379.4974949460746,2.756352369942032,374.0950443009882,384.899945591161
BRA,2022,escs,Q4,2631,425.4064475167026,3.886243976407432,417.78940932294404,433.02348571046116
BRA,2022,escs_h4,Q1,2510,349.91951824415554,1.7873041956032978,346.4164020207731,353.422634467538
BRA,2022,escs_h4,Q2,2526,366.4179485762169,1.9820187075397926,362.53319190943887,370.3027052429949
BRA,2022,escs_h4,Q3,2576,381.9600320892847,2.4563068144746483,377.1456707329144,386.774393445655
BRA,2022,escs_h4,Q4,2603,424.22300051383917,3.8802967843499125,416.61761881651336,431.828382211165
BRA,2022,homepos,Q1,2587,341.7167759405264,1.8638286099555588,338.06367186501353,345.3698800160393
BRA,2022,homepos,Q2,2588,361.19966786747045,1.7847159291342158,357.7016246463674,364.6977110885735
BRA,2022,homepos,Q3,2662,385.83945422885483,2.524563123205591,380.8913105073719,390.7875979503378
BRA,2022,homepos,Q4,2668,427.2814146180591,3.4981667791568527,420.42500773091166,434.13782150520655
BRA,2022,homepos_h4,Q1,2507,349.13254277480405,1.8616427282372705,345.483723027459,352.7813625221491
BRA,2022,homepos_h4,Q2,2495,359.55466995002973,2.0704079366663097,355.49667039416374,363.6126695058957
BRA,2022,homepos_h4,Q3,2588,389.6300272591551,2.4014068888010187,384.9232697571051,394.3367847612051
BRA,2022,homepos_h4,Q4,2579,428.1840013560166,3.507045118937387,421.3101929228993,435.0578097891339
CHL,2022,escs,Q1,1210,383.74230080287316,2.4967566571567508,378.84865775484593,388.6359438509004
CHL,2022,escs,Q2,1249,403.4320295756664,2.992397979228967,397.5669295363776,409.29712961495517
CHL,2022,escs,Q3,1408,415.17643839549316,3.387339867458523,408.53725225527444,421.8156245357119
CHL,2022,escs,Q4,2314,452.85221006260934,3.4815033167737597,446.0284635617328,459.6759565634859
CHL,2022,escs_h4,Q1,1210,385.4327250414064,2.392457859989994,380.743507635826,390.1219424469868
CHL,2022,escs_h4,Q2,1251,404.15338014451925,2.7401767431593513,398.7826337279269,409.5241265611116
CHL,2022,escs_h4,Q3,1423,416.28557894001824,3.7206056857913476,408.9931917958672,423.5779660841693
CHL,2022,escs_h4,Q4,2292,449.57216523645747,3.3265117710589087,443.052202165182,456.09212830773293
CHL,2022,homepos,Q1,1233,378.34203966360235,2.6503330319560767,373.1473869209684,383.5366924062363
CHL,2022,homepos,Q2,1318,404.04455492773525,3.1845792406541618,397.8027796160531,410.2863302394174
CHL,2022,homepos,Q3,1487,421.03888494988206,3.1766426638852012,414.8126653286671,427.265104571097
CHL,2022,homepos,Q4,2188,449.656870528859,3.762160489054661,442.28303597031186,457.0307050874061
CHL,2022,homepos_h4,Q1,1257,384.86009868727234,2.7071329855470894,379.5541180356,390.16607933894466
CHL,2022,homepos_h4,Q2,1298,406.9109334023948,2.8764772031923824,401.27303808413774,412.54882872065184
CHL,2022,homepos_h4,Q3,1491,421.22672225535763,3.0157884556500405,415.31577688228356,427.1376676284317
CHL,2022,homepos_h4,Q4,2161,441.8613484674958,3.334845892792116,435.32505051762325,448.3976464173684
COL,2022,escs,Q1,1633,351.657763356477,3.2933821352429393,345.2027343714008,358.1127923415532
COL,2022,escs,Q2,1850,369.6691864423028,3.1803545580239323,363.4356915085759,375.9026813760297
COL,2022,escs,Q3,1927,384.2044345673045,4.205956088188024,375.96076063445594,392.448108500153
COL,2022,escs,Q4,2049,430.21297769345813,5.880715096952233,418.6867761034317,441.73917928348453
COL,2022,escs_h4,Q1,1635,353.6030983794724,3.195718097144001,347.33949090907015,359.8667058498746
COL,2022,escs_h4,Q2,1842,370.920563182482,3.6201345822548276,363.82509940126255,378.01602696370145
COL,2022,escs_h4,Q3,1938,384.99998004392666,3.9712031758647717,377.2164218192317,392.7835382686216
COL,2022,escs_h4,Q4,2030,427.2088081105996,5.91081264939217,415.62361531779095,438.79400090340823
COL,2022,homepos,Q1,1606,345.054323691981,2.8532289900507055,339.4619948714816,350.6466525124804
COL,2022,homepos,Q2,1742,366.4046636703896,3.989887591288495,358.58448399146414,374.22484334931505
COL,2022,homepos,Q3,1990,391.7630618812412,4.199242893987911,383.5325458090249,399.9935779534575
COL,2022,homepos,Q4,2140,431.6554415291657,5.183813448092218,421.495167170905,441.81571588742645
COL,2022,homepos_h4,Q1,1585,354.31008359010286,2.9403868014189327,348.54692545932176,360.07324172088397
COL,2022,homepos_h4,Q2,1722,361.67983543494006,3.66707664162827,354.49236521734866,368.86730565253146
