cnt,wave,index,quartile,statistic,computed,official,difference,source_table
CHL,2015,escs,Q3,se,3.6717767170692315,3.67817,-0.0063932829307686845,Table I.B1.2b.24
CHL,2015,escs,Q4,estimate,474.0042189488604,474.00422000000003,-1.0511396340007195e-06,Table I.B1.2b.24
CHL,2015,escs,Q4,se,3.4278932953159407,3.4336100000000003,-0.005716704684059604,Table I.B1.2b.24
CHL,2018,escs,Q1,estimate,377.5231274216619,377.52313000000004,-2.578338126113522e-06,Table I.B1.2b.24
CHL,2018,escs,Q1,se,3.9626961615790965,3.9658300000000004,-0.003133838420903867,Table I.B1.2b.24
CHL,2018,escs,Q2,estimate,406.82707661141586,406.82708,-3.3885841617120604e-06,Table I.B1.2b.24
CHL,2018,escs,Q2,se,4.0217154866392875,4.02155,0.0001654866392870602,Table I.B1.2b.24
CHL,2018,escs,Q3,estimate,422.3623468550335,422.36235000000005,-3.1449665698346507e-06,Table I.B1.2b.24
CHL,2018,escs,Q3,se,3.0593469582632054,3.0616800000000004,-0.0023330417367950496,Table I.B1.2b.24
CHL,2018,escs,Q4,estimate,466.70646485181413,466.70646000000005,4.851814082940109e-06,Table I.B1.2b.24
CHL,2018,escs,Q4,se,3.7477140499145833,3.7470600000000003,0.0006540499145830658,Table I.B1.2b.24
CHL,2022,escs,Q1,estimate,383.74230080287316,383.7463,-0.003999197126859144,Table I.B1.2b.24
CHL,2022,escs,Q1,se,2.4967566571567508,2.50299,-0.006233342843249279,Table I.B1.2b.24
CHL,2022,escs,Q2,estimate,403.4320295756664,403.41188000000005,0.02014957566632347,Table I.B1.2b.24
CHL,2022,escs,Q2,se,2.992397979228967,2.9947500000000002,-0.0023520207710330254,Table I.B1.2b.24
CHL,2022,escs,Q3,estimate,415.17643839549316,415.17644,-1.604506849162135e-06,Table I.B1.2b.24
CHL,2022,escs,Q3,se,3.387339867458523,3.3775100000000005,0.009829867458522656,Table I.B1.2b.24
CHL,2022,escs,Q4,estimate,452.85221006260934,452.85221,6.260933105295408e-08,Table I.B1.2b.24
CHL,2022,escs,Q4,se,3.4815033167737597,3.4917700000000003,-0.01026668322624058,Table I.B1.2b.24
CHL,2025,escs,Q1,estimate,377.5920471563294,377.53746,0.05458715632937583,Table I.B1.2b.24
CHL,2025,escs,Q1,se,3.334809668948005,3.32119,0.013619668948004815,Table I.B1.2b.24
CHL,2025,escs,Q2,estimate,392.04530464802474,391.71877,0.3265346480247331,Table I.B1.2b.24
CHL,2025,escs,Q2,se,3.098657795901482,3.1468800000000003,-0.04822220409851852,Table I.B1.2b.24
CHL,2025,escs,Q3,estimate,408.3447237308966,408.67597,-0.33124626910341703,Table I.B1.2b.24
CHL,2025,escs,Q3,se,3.2879880484190838,3.2397500000000004,0.04823804841908341,Table I.B1.2b.24
CHL,2025,escs,Q4,estimate,447.28867092451276,447.33451,-0.04583907548726529,Table I.B1.2b.24
CHL,2025,escs,Q4,se,3.386007518513173,3.3640700000000003,0.021937518513172716,Table I.B1.2b.24
COL,2015,escs,Q1,estimate,361.06392550630596,361.06393,-4.4936940639672684e-06,Table I.B1.2b.24
COL,2015,escs,Q1,se,3.2946778706016713,3.3038800000000004,-0.009202129398329095,Table I.B1.2b.24
COL,2015,escs,Q2,estimate,374.50552906788295,374.5095,-0.003970932117056236,Table I.B1.2b.24
COL,2015,escs,Q2,se,3.142402146570951,3.1294600000000004,0.012942146570950719,Table I.B1.2b.24
COL,2015,escs,Q3,estimate,392.06164762220607,392.05546000000004,0.006187622206027754,Table I.B1.2b.24
COL,2015,escs,Q3,se,3.097722598262832,3.10176,-0.004037401737168267,Table I.B1.2b.24
COL,2015,escs,Q4,estimate,431.16469251933256,431.16469,2.5193325541295053e-06,Table I.B1.2b.24
COL,2015,escs,Q4,se,5.1366282679852935,5.14414,-0.0075117320147066735,Table I.B1.2b.24
COL,2018,escs,Q1,estimate,358.9804247442221,358.98042000000004,4.744222053432168e-06,Table I.B1.2b.24
COL,2018,escs,Q1,se,3.803929547353319,3.80223,0.0016995473533185645,Table I.B1.2b.24
COL,2018,escs,Q2,estimate,377.4503186360695,377.45032000000003,-1.3639305507240351e-06,Table I.B1.2b.24
COL,2018,escs,Q2,se,4.725381184191552,4.729480000000001,-0.004098815808448286,Table I.B1.2b.24
COL,2018,escs,Q3,estimate,395.8803760562758,395.88038000000006,-3.943724266264326e-06,Table I.B1.2b.24
COL,2018,escs,Q3,se,4.200907998320742,4.21624,-0.015332001679258411,Table I.B1.2b.24
COL,2018,escs,Q4,estimate,434.5132970824094,434.5133,-2.9175906206546642e-06,Table I.B1.2b.24
COL,2018,escs,Q4,se,6.414057031634419,6.41837,-0.004312968365581149,Table I.B1.2b.24
COL,2022,escs,Q1,estimate,351.657763356477,351.66169,-0.003926643523016082,Table I.B1.2b.24
COL,2022,escs,Q1,se,3.2933821352429393,3.2838000000000003,0.00958213524293905,Table I.B1.2b.24
COL,2022,escs,Q2,estimate,369.6691864423028,369.65547000000004,0.013716442302779797,Table I.B1.2b.24
COL,2022,escs,Q2,se,3.1803545580239323,3.1771800000000003,0.0031745580239319615,Table I.B1.2b.24
COL,2022,escs,Q3,estimate,384.2044345673045,384.19426000000004,0.010174567304432003,Table I.B1.2b.24
COL,2022,escs,Q3,se,4.205956088188024,4.20465,0.0013060881880235797,Table I.B1.2b.24
COL,2022,escs,Q4,estimate,430.21297769345813,430.19660000000005,0.016377693458082376,Table I.B1.2b.24
COL,2022,escs,Q4,se,5.880715096952233,5.8799,0.0008150969522331408,Table I.B1.2b.24
COL,2025,escs,Q1,estimate,350.4688905562199,350.47443000000004,-0.005539443780151032,Table I.B1.2b.24
COL,2025,escs,Q1,se,2.2709660723404985,2.25713,0.01383607234049844,Table I.B1.2b.24
COL,2025,escs,Q2,estimate,373.1685363601852,373.14910000000003,0.01943636018518191,Table I.B1.2b.24
COL,2025,escs,Q2,se,2.6600962230464593,2.6552900000000004,0.004806223046458946,Table I.B1.2b.24
COL,2025,escs,Q3,estimate,388.05745567716866,388.03265000000005,0.024805677168615148,Table I.B1.2b.24
COL,2025,escs,Q3,se,4.18204097912183,4.155690000000001,0.02635097912182882,Table I.B1.2b.24
COL,2025,escs,Q4,estimate,428.55562757004145,428.54906000000005,0.00656757004139763,Table I.B1.2b.24
COL,2025,escs,Q4,se,6.2330538426005955,6.23158,0.0014738426005953542,Table I.B1.2b.24
MEX,2015,escs,Q1,estimate,380.6577082783705,380.65160000000003,0.006108278370447806,Table I.B1.2b.24
