cnt,index,n_systems,countries,status,group,mean_2022,mean_2025,link_se,estimate,se,ci_low,ci_high
MEX,escs_pca,1,MEX,both cycles,Q4,427.11515045605273,421.541660781328,1.22,-5.573489674724726,5.347156695772513,-16.053916798438852,4.9069374489893995
MEX,escs_pca,1,MEX,both cycles,Q2-Q1,14.506571253159109,15.3479995336711,0.0,0.841428280511991,4.002020210255105,-7.002531331588014,8.685387892611995
MEX,escs_pca,1,MEX,both cycles,Q3-Q1,26.803872472665375,28.348716664966275,0.0,1.5448441923009,5.103090887899235,-8.4572139479816,11.5469023325834
MEX,escs_pca,1,MEX,both cycles,Q4-Q1,56.26753557923189,57.54718788866944,0.0,1.2796523094375516,5.80329768214948,-10.09481114757543,12.654115766450532
MEX,escs_pca,1,MEX,both cycles,Q3-Q2,12.297301219506267,13.000717131295175,0.0,0.7034159117889089,4.222430305596764,-7.572547487180749,8.979379310758567
MEX,escs_pca,1,MEX,both cycles,Q4-Q2,41.76096432607278,42.19918835499834,0.0,0.43822402892556056,5.479911443355837,-10.30240240005188,11.178850457903001
MEX,escs_pca,1,MEX,both cycles,Q4-Q3,29.463663106566514,29.198471223703166,0.0,-0.2651918828633484,5.280990914200601,-10.615934074696526,10.085550308969829
PER,escs_pca,1,PER,both cycles,Q1,352.6480674265083,350.95280131315633,1.22,-1.6952661133519769,3.8790225172758537,-9.29815024721265,5.907618020508696
PER,escs_pca,1,PER,both cycles,Q2,377.72887312899104,371.02807811502,1.22,-6.70079501397106,4.39737472325778,-15.319649471556309,1.9180594436141885
PER,escs_pca,1,PER,both cycles,Q3,399.7976536701782,392.81830280596625,1.22,-6.979350864211938,5.400031422566374,-17.56341245244203,3.6047107240181546
PER,escs_pca,1,PER,both cycles,Q4,436.5427256231219,426.85850585531915,1.22,-9.684219767802745,5.985975327107475,-21.416731408933394,2.0482918733279067
PER,escs_pca,1,PER,both cycles,Q2-Q1,25.080805702482735,20.07527680186365,0.0,-5.005528900619083,4.1829561154275545,-13.20412288685709,3.193065085618924
PER,escs_pca,1,PER,both cycles,Q3-Q1,47.14958624366989,41.865501492809926,0.0,-5.284084750859961,5.579911380004164,-16.220711055668122,5.6525415539482005
PER,escs_pca,1,PER,both cycles,Q4-Q1,83.89465819661359,75.90570454216282,0.0,-7.988953654450768,6.415467520254097,-20.563269994148797,4.585362685247263
PER,escs_pca,1,PER,both cycles,Q3-Q2,22.068780541187152,21.790224690946275,0.0,-0.2785558502408776,4.916745756705614,-9.915377533383882,9.358265832902127
PER,escs_pca,1,PER,both cycles,Q4-Q2,58.813852494130856,55.83042774029917,0.0,-2.9834247538316845,6.373931421163505,-15.476330339312154,9.509480831648785
PER,escs_pca,1,PER,both cycles,Q4-Q3,36.745071952943704,34.0402030493529,0.0,-2.704868903590807,6.127936074753935,-14.71562361010852,9.305885802926905
