cnt,index,n_systems,countries,status,wave,group,estimate,se,ci_low,ci_high
PER,escs_cc,1,PER,both cycles,2025,Q2,379.42471296513384,3.331698929708635,372.8945830629049,385.95484286736274
PER,escs_cc,1,PER,both cycles,2022,Q3,403.09433879318664,3.67356375992754,395.89415382372863,410.29452376264464
PER,escs_cc,1,PER,both cycles,2025,Q3,399.5694194737807,3.722082928593262,392.2741369337379,406.86470201382355
PER,escs_cc,1,PER,both cycles,2022,Q4,439.06399474436586,3.7389805159883966,431.7355929330286,446.3923965557031
PER,escs_cc,1,PER,both cycles,2025,Q4,434.406786787322,4.734164058844778,425.12782523198626,443.68574834265775
PER,escs_cc,1,PER,both cycles,2022,Q2-Q1,28.799171476436698,3.0705060277928924,22.78097966196263,34.81736329091077
PER,escs_cc,1,PER,both cycles,2025,Q2-Q1,25.904490845244766,3.430195439934684,19.181307782972784,32.627673907516744
PER,escs_cc,1,PER,both cycles,2022,Q3-Q1,51.47022479208084,4.025312043854935,43.58061318612517,59.359836398036514
PER,escs_cc,1,PER,both cycles,2025,Q3-Q1,46.04919735389166,4.390910020847331,37.443013713030886,54.65538099475243
PER,escs_cc,1,PER,both cycles,2022,Q4-Q1,87.43988074326006,4.2304814124916135,79.1481371747765,95.73162431174363
PER,escs_cc,1,PER,both cycles,2025,Q4-Q1,80.88656466743294,5.457300629383211,70.19025543384184,91.58287390102403
PER,escs_cc,1,PER,both cycles,2022,Q3-Q2,22.671053315644144,3.503197440235095,15.804786332783358,29.53732029850493
PER,escs_cc,1,PER,both cycles,2025,Q3-Q2,20.14470650864689,3.491651816896124,13.301068947530489,26.988344069763293
PER,escs_cc,1,PER,both cycles,2022,Q4-Q2,58.640709266823364,4.107991906038807,50.5890451309873,66.69237340265943
PER,escs_cc,1,PER,both cycles,2025,Q4-Q2,54.98207382218817,5.540028236835667,44.12361847799026,65.84052916638608
PER,escs_cc,1,PER,both cycles,2022,Q4-Q3,35.96965595117922,3.9840765761186354,28.160865861986693,43.77844604037175
PER,escs_cc,1,PER,both cycles,2025,Q4-Q3,34.83736731354128,5.029046476900199,24.98043621881689,44.69429840826567
URY,escs_cc,1,URY,both cycles,2022,Q1,378.89014268578177,2.7096950430584616,373.5791404013872,384.20114497017636
URY,escs_cc,1,URY,both cycles,2025,Q1,376.00564464660516,3.000448637135158,370.1247653178203,381.88652397539005
URY,escs_cc,1,URY,both cycles,2022,Q2,397.80857160652965,2.7534259832865278,392.41185667928806,403.20528653377124
URY,escs_cc,1,URY,both cycles,2025,Q2,398.3695607573265,2.7623874025487094,392.95528144833105,403.78384006632194
URY,escs_cc,1,URY,both cycles,2022,Q3,419.3586742702461,2.865285845516114,413.7427140130345,424.97463452745774
URY,escs_cc,1,URY,both cycles,2025,Q3,419.31722775092084,3.18254733338986,413.0794349774767,425.555020524365
URY,escs_cc,1,URY,both cycles,2022,Q4,467.7551658369187,3.689028328640865,460.52467031278263,474.9856613610548
URY,escs_cc,1,URY,both cycles,2025,Q4,467.70028897674393,3.8146277202202103,460.2236186451123,475.17695930837556
URY,escs_cc,1,URY,both cycles,2022,Q2-Q1,18.918428920747886,3.4456948234817153,12.164867066723723,25.67199077477205
