cnt,index,wave,group,statistic,computed,official,difference,source_table
PER,escs,2022,Q4,se,3.8299874394094453,3.83204,-0.0020525605905548083,Table I.B1.2b.24
PER,escs,2025,Q4,estimate,424.89792190456757,424.89792000000006,1.9045675117013161e-06,Table I.B1.2b.24
PER,escs,2025,Q4,se,4.82959755823109,4.81773,0.011867558231090314,Table I.B1.2b.24
PER,escs,change,Q4,estimate,-11.795906107861072,-11.795910000000001,3.8921389293733455e-06,Table I.B1.2b.24
PER,escs,change,Q4,se,6.283487595317256,6.275620000000001,0.007867595317255116,Table I.B1.2b.24
PER,escs,2022,Q4-Q1,estimate,85.99058299306131,85.99471000000001,-0.004127006938702493,Table I.B1.2b.24
PER,escs,2022,Q4-Q1,se,4.211053336703984,4.20875,0.0023033367039841934,Table I.B1.2b.24
PER,escs,2025,Q4-Q1,estimate,74.47789577536781,74.4779,-4.224632192517674e-06,Table I.B1.2b.24
PER,escs,2025,Q4-Q1,se,5.1633906787204396,5.15277,0.010620678720439258,Table I.B1.2b.24
PER,escs,change,Q4-Q1,estimate,-11.512687217693497,-11.516810000000001,0.0041227823065046465,Table I.B1.2b.24
PER,escs,change,Q4-Q1,se,6.662850253882559,6.65317,0.009680253882558887,Table I.B1.2b.24
URY,escs,2022,Q1,estimate,371.2191068071087,371.21911000000006,-3.1928913699630357e-06,Table I.B1.2b.24
URY,escs,2022,Q1,se,3.0743843842217227,3.08591,-0.011525615778277487,Table I.B1.2b.24
URY,escs,2025,Q1,estimate,368.9377982348966,368.67763,0.26016823489658236,Table I.B1.2b.24
URY,escs,2025,Q1,se,2.836533064602857,2.92043,-0.08389693539714305,Table I.B1.2b.24
URY,escs,change,Q1,estimate,-2.281308572212083,-2.5414700000000003,0.2601614277879172,Table I.B1.2b.24
URY,escs,change,Q1,se,4.357311002043767,4.4204300000000005,-0.06311899795623344,Table I.B1.2b.24
URY,escs,2022,Q2,estimate,393.80990438618784,393.8099,4.386187811178388e-06,Table I.B1.2b.24
URY,escs,2022,Q2,se,2.451313255642789,2.4348500000000004,0.01646325564278861,Table I.B1.2b.24
URY,escs,2025,Q2,estimate,390.39844150786683,391.18766000000005,-0.7892184921332159,Table I.B1.2b.24
URY,escs,2025,Q2,se,2.966868609786303,2.8746300000000002,0.09223860978630283,Table I.B1.2b.24
URY,escs,change,Q2,estimate,-3.4114628783210037,-2.62224,-0.7892228783210036,Table I.B1.2b.24
URY,escs,change,Q2,se,4.03728200959821,3.9598500000000003,0.07743200959820928,Table I.B1.2b.24
URY,escs,2022,Q3,estimate,411.52990541377073,411.59092000000004,-0.06101458622930522,Table I.B1.2b.24
URY,escs,2022,Q3,se,3.215768225529201,3.22583,-0.010061774470799367,Table I.B1.2b.24
URY,escs,2025,Q3,estimate,411.9536827057697,411.79933000000005,0.15435270576966786,Table I.B1.2b.24
URY,escs,2025,Q3,se,3.0153252099013628,2.95542,0.05990520990136261,Table I.B1.2b.24
URY,escs,change,Q3,estimate,0.42377729199898795,0.20840000000000003,0.21537729199898792,Table I.B1.2b.24
URY,escs,change,Q3,se,4.5740301050375605,4.541910000000001,0.03212010503755991,Table I.B1.2b.24
URY,escs,2022,Q4,estimate,461.843520652788,461.74629000000004,0.09723065278797094,Table I.B1.2b.24
URY,escs,2022,Q4,se,3.575894764980432,3.56462,0.011274764980431673,Table I.B1.2b.24
URY,escs,2025,Q4,estimate,462.36023535745136,461.95789,0.40234535745133826,Table I.B1.2b.24
URY,escs,2025,Q4,se,3.5665171404124676,3.6441200000000005,-0.07760285958753288,Table I.B1.2b.24
URY,escs,change,Q4,estimate,0.5167147046633431,0.21161000000000002,0.3051047046633431,Table I.B1.2b.24
URY,escs,change,Q4,se,5.195716301249558,5.2416100000000005,-0.0458936987504428,Table I.B1.2b.24
URY,escs,2022,Q4-Q1,estimate,90.62441384567933,90.52718,0.09723384567932669,Table I.B1.2b.24
URY,escs,2022,Q4-Q1,se,4.3695007568572475,4.405810000000001,-0.03630924314275319,Table I.B1.2b.24
URY,escs,2025,Q4-Q1,estimate,93.42243712255475,93.28026000000001,0.1421771225547417,Table I.B1.2b.24
URY,escs,2025,Q4-Q1,se,4.385229024702694,4.44644,-0.061210975297306014,Table I.B1.2b.24
URY,escs,change,Q4-Q1,estimate,2.7980232768754263,2.75308,0.0449432768754261,Table I.B1.2b.24
URY,escs,change,Q4-Q1,se,6.19053878618582,6.259550000000001,-0.06901121381418118,Table I.B1.2b.24
ARG,homepos,2022,Q1,estimate,338.7818480512122,338.78185,-1.948787826222542e-06,Table I.B1.2b.38
ARG,homepos,2022,Q1,se,3.01407793955429,3.0109800000000004,0.003097939554289386,Table I.B1.2b.38
ARG,homepos,2025,Q1,estimate,337.8517730990177,337.84836,0.003413099017677723,Table I.B1.2b.38
ARG,homepos,2025,Q1,se,3.03795433424074,3.0419600000000004,-0.004005665759260424,Table I.B1.2b.38
ARG,homepos,change,Q1,estimate,-0.9300749521945022,-0.93349,0.0034150478054978395,Table I.B1.2b.38
ARG,homepos,change,Q1,se,4.449969928284902,4.45061,-0.0006400717150985002,Table I.B1.2b.38
ARG,homepos,2022,Q2,estimate,367.1932396149292,367.19324,-3.850707912533835e-07,Table I.B1.2b.38
ARG,homepos,2022,Q2,se,2.8088864572530903,2.7988600000000003,0.010026457253089927,Table I.B1.2b.38
ARG,homepos,2025,Q2,estimate,355.88316870702533,355.87041000000005,0.012758707025284366,Table I.B1.2b.38
ARG,homepos,2025,Q2,se,3.333071340557034,3.31814,0.014931340557033934,Table I.B1.2b.38
ARG,homepos,change,Q2,estimate,-11.310070907903878,-11.322830000000002,0.012759092096123581,Table I.B1.2b.38
ARG,homepos,change,Q2,se,4.5263238605939895,4.509110000000001,0.017213860593988883,Table I.B1.2b.38
ARG,homepos,2022,Q3,estimate,390.21397266835044,390.20231,0.011662668350425065,Table I.B1.2b.38
ARG,homepos,2022,Q3,se,2.867797358504256,2.8953900000000004,-0.027592641495744363,Table I.B1.2b.38
ARG,homepos,2025,Q3,estimate,377.09964295241855,377.09964,2.9524185265472624e-06,Table I.B1.2b.38
ARG,homepos,2025,Q3,se,3.5006220845927025,3.5016300000000005,-0.0010079154072979435,Table I.B1.2b.38
ARG,homepos,change,Q3,estimate,-13.114329715931888,-13.102670000000002,-0.011659715931886083,Table I.B1.2b.38
ARG,homepos,change,Q3,se,4.686898406044465,4.70458,-0.017681593955535035,Table I.B1.2b.38
ARG,homepos,2022,Q4,estimate,414.3519549979313,414.34955,0.0024049979312508185,Table I.B1.2b.38
ARG,homepos,2022,Q4,se,3.6576211541677335,3.6457,0.011921154167733317,Table I.B1.2b.38
ARG,homepos,2025,Q4,estimate,405.02563888189553,405.02564,-1.1181044783370453e-06,Table I.B1.2b.38
ARG,homepos,2025,Q4,se,5.29910421719527,5.296200000000001,0.002904217195268899,Table I.B1.2b.38
ARG,homepos,change,Q4,estimate,-9.326316116035741,-9.323910000000001,-0.0024061160357398137,Table I.B1.2b.38
ARG,homepos,change,Q4,se,6.553403544122092,6.5444,0.009003544122091256,Table I.B1.2b.38
ARG,homepos,2022,Q4-Q1,estimate,75.57010694671908,75.5677,0.002406946719077041,Table I.B1.2b.38
ARG,homepos,2022,Q4-Q1,se,4.381193687757244,4.38042,0.0007736877572437351,Table I.B1.2b.38
ARG,homepos,2025,Q4-Q1,estimate,67.17386578287784,67.17728000000001,-0.003414217122170271,Table I.B1.2b.38
ARG,homepos,2025,Q4-Q1,se,5.54128521499821,5.535520000000001,0.005765214998208812,Table I.B1.2b.38
ARG,homepos,change,Q4-Q1,estimate,-8.396241163841239,-8.390410000000001,-0.005831163841238052,Table I.B1.2b.38
ARG,homepos,change,Q4-Q1,se,7.064042749276201,7.05904,0.005002749276200369,Table I.B1.2b.38
BRA,homepos,2022,Q1,estimate,341.7167759405264,341.71678,-4.059473610595887e-06,Table I.B1.2b.38
BRA,homepos,2022,Q1,se,1.8638286099555585,1.8653400000000002,-0.001511390044441674,Table I.B1.2b.38
BRA,homepos,2025,Q1,estimate,343.4995455111046,343.49455,0.004995511104596062,Table I.B1.2b.38
BRA,homepos,2025,Q1,se,1.6112872964912224,1.6060800000000002,0.005207296491222202,Table I.B1.2b.38
BRA,homepos,change,Q1,estimate,1.782769570578182,1.77777,0.004999570578182011,Table I.B1.2b.38
BRA,homepos,change,Q1,se,2.7492733292859155,2.74725,0.0020233292859153096,Table I.B1.2b.38
BRA,homepos,2022,Q2,estimate,361.19966786747045,361.19967,-2.1325295733731764e-06,Table I.B1.2b.38
BRA,homepos,2022,Q2,se,1.7847159291342156,1.7856600000000002,-0.0009440708657846297,Table I.B1.2b.38
BRA,homepos,2025,Q2,estimate,359.86946190445985,359.93061,-0.06114809554014755,Table I.B1.2b.38
BRA,homepos,2025,Q2,se,1.9320340484762135,1.90369,0.028344048476213413,Table I.B1.2b.38
BRA,homepos,change,Q2,estimate,-1.3302059630105987,-1.26906,-0.0611459630105986,Table I.B1.2b.38
